full_symbol,symbol,name,industry,board_name
SHSE.601398,601398,工商银行,银行,银行板块
SHSE.601939,601939,建设银行,银行,银行板块
SHSE.601288,601288,农业银行,银行,银行板块
SHSE.601988,601988,中国银行,银行,银行板块
SHSE.601328,601328,交通银行,银行,银行板块
SHSE.601658,601658,邮储银行,银行,银行板块
SHSE.600036,600036,招商银行,银行,银行板块
SHSE.601166,601166,兴业银行,银行,银行板块
SHSE.600000,600000,浦发银行,银行,银行板块
SHSE.600016,600016,民生银行,银行,银行板块
SHSE.600015,600015,华夏银行,银行,银行板块
SHSE.601818,601818,光大银行,银行,银行板块
SHSE.601998,601998,中信银行,银行,银行板块
SHSE.601997,601997,贵阳银行,银行,银行板块
SHSE.601169,601169,北京银行,银行,银行板块
SHSE.601009,601009,南京银行,银行,银行板块
SHSE.600926,600926,杭州银行,银行,银行板块
SHSE.601128,601128,常熟银行,银行,银行板块
SHSE.601838,601838,成都银行,银行,银行板块
SHSE.601577,601577,长沙银行,银行,银行板块
SHSE.601528,601528,瑞丰银行,银行,银行板块
SHSE.601187,601187,厦门银行,银行,银行板块
SHSE.601963,601963,重庆银行,银行,银行板块
SHSE.601860,601860,紫金银行,银行,银行板块
SHSE.601162,601162,天风证券,银行,银行板块
SZSE.000001,000001,平安银行,银行,银行板块
SZSE.002142,002142,宁波银行,银行,银行板块
SZSE.002807,002807,江阴银行,银行,银行板块
SZSE.002839,002839,张家港行,银行,银行板块
SZSE.002936,002936,郑州银行,银行,银行板块
SZSE.002948,002948,青岛银行,银行,银行板块
SZSE.002958,002958,青农商行,银行,银行板块
SZSE.002966,002966,苏州银行,银行,银行板块
SZSE.300059,300059,东方财富,银行,银行板块
