open,high,low,close,volume,amount
11.27,11.28,11.26,11.27,379.0,427161.0
11.27,11.28,11.27,11.27,277.0,312192.0
11.27,11.27,11.26,11.27,380.0,427954.0
11.26,11.27,11.26,11.27,761.0,856971.0
11.27,11.27,11.25,11.26,1439.0,1620733.0
11.26,11.26,11.25,11.25,529.0,595311.0
11.26,11.27,11.25,11.26,389.0,438017.0
11.26,11.32,11.26,11.32,4459.0,5037553.0
11.32,11.32,11.3,11.31,2551.0,2886053.0
11.31,11.33,11.3,11.32,1185.0,1340985.0
11.32,11.33,11.31,11.32,1296.0,1467314.0
11.33,11.33,11.3,11.3,1229.0,1390698.0
11.31,11.31,11.3,11.3,568.0,641846.0
11.3,11.32,11.3,11.31,1168.0,1321141.0
11.31,11.31,11.29,11.29,867.0,979738.0
11.3,11.3,11.28,11.29,1026.0,1158037.0
11.28,11.3,11.28,11.29,752.0,849034.0
11.29,11.3,11.28,11.29,284.0,320630.0
11.29,11.3,11.29,11.29,485.0,547861.0
11.29,11.3,11.29,11.29,246.0,277867.0
11.3,11.3,11.29,11.3,188.0,212415.0
11.29,11.31,11.29,11.3,469.0,529984.0
11.3,11.31,11.29,11.3,935.0,1057044.0
11.3,11.32,11.3,11.31,978.0,1106460.0
11.32,11.32,11.31,11.31,524.0,592817.0
11.32,11.33,11.31,11.31,1758.0,1990407.0
11.31,11.33,11.31,11.31,1173.0,1327496.0
11.31,11.32,11.31,11.32,2019.0,2284686.0
11.36,11.37,11.32,11.35,5606.0,6361534.0
11.35,11.35,11.3,11.3,1773.0,2006819.0
11.31,11.34,11.31,11.33,1108.0,1254369.0
11.34,11.35,11.31,11.33,1162.0,1316325.0
11.33,11.34,11.31,11.31,940.0,1064577.0
11.31,11.32,11.3,11.31,902.0,1019926.0
11.31,11.31,11.28,11.28,1996.0,2253586.0
11.28,11.3,11.27,11.28,1654.0,1865591.0
11.28,11.3,11.27,11.27,1256.0,1416821.0
11.27,11.28,11.26,11.26,1431.0,1612514.0
11.26,11.27,11.25,11.26,1885.0,2121914.0
11.26,11.27,11.25,11.25,631.0,710455.0
11.25,11.27,11.25,11.26,339.0,381780.0
11.26,11.27,11.26,11.26,659.0,742174.0
11.26,11.27,11.25,11.26,582.0,655187.0
11.27,11.27,11.25,11.26,846.0,952340.0
11.26,11.27,11.24,11.24,880.0,989908.0
11.24,11.25,11.23,11.25,1588.0,1784353.0
11.25,11.25,11.24,11.25,268.0,301270.0
11.24,11.25,11.23,11.23,803.0,902030.0
11.23,11.24,11.22,11.22,760.0,853730.0
11.23,11.23,11.22,11.23,579.0,649687.0
11.23,11.23,11.22,11.22,330.0,370407.0
11.22,11.24,11.22,11.22,439.0,492948.0
11.24,11.24,11.21,11.21,2163.0,2426493.0
11.22,11.23,11.21,11.21,1298.0,1455405.0
11.22,11.22,11.2,11.2,969.0,1085634.0
11.21,11.22,11.19,11.19,1506.0,1687003.0
11.2,11.2,11.18,11.2,780.0,872818.0
11.2,11.2,11.18,11.19,626.0,700545.0
11.2,11.22,11.19,11.21,584.0,654510.0
11.22,11.22,11.19,11.19,846.0,948063.0
11.2,11.2,11.19,11.19,1161.0,1299253.0
11.19,11.2,11.19,11.19,601.0,672581.0
11.19,11.21,11.19,11.2,608.0,680712.0
11.21,11.21,11.19,11.2,429.0,480088.0
11.2,11.21,11.19,11.19,483.0,541090.0
11.19,11.2,11.18,11.18,1202.0,1344822.0
11.18,11.19,11.18,11.19,1254.0,1402314.0
11.18,11.2,11.18,11.18,661.0,739534.0
11.18,11.19,11.17,11.17,749.0,837431.0
11.17,11.17,11.16,11.17,895.0,999475.0
11.17,11.18,11.16,11.18,979.0,1093029.0
